Kennziffer;Raumeinheit;Aggregat;Ausgaben für Sachinvestitionen;Kinderarmut
"06532";"Lahn-Dill-Kreis";"Landkreis";"323,2";"13,2"
"06533";"Limburg-Weilburg";"Landkreis";"259,1";"13,7"
"06534";"Marburg-Biedenkopf";"Landkreis";"247,3";"11,8"
"06535";"Vogelsbergkreis";"Landkreis";"381,2";"9,6"
"06611";"Kassel, Stadt";"krsfr. Stadt";"157,0";"25,9"
"06631";"Fulda";"Landkreis";"393,4";"8,7"
"06632";"Hersfeld-Rotenburg";"Landkreis";"331,1";"11,2"
"06633";"Kassel";"Landkreis";"252,9";"11,0"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"337,8";"10,7"
"06635";"Waldeck-Frankenberg";"Landkreis";"356,7";"10,7"
"06636";"Werra-Meißner-Kreis";"Landkreis";"247,8";"15,5"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"187,9";"20,2"
"07131";"Ahrweiler";"Landkreis";"234,6";"11,1"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"230,1";"9,6"
"07133";"Bad Kreuznach";"Landkreis";"254,5";"13,9"
"07134";"Birkenfeld";"Landkreis";"288,2";"14,3"
"07135";"Cochem-Zell";"Landkreis";"246,6";"7,9"
"07137";"Mayen-Koblenz";"Landkreis";"270,6";"10,7"
"07138";"Neuwied";"Landkreis";"166,5";"12,8"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"404,4";"8,4"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"219,3";"10,9"
"07143";"Westerwaldkreis";"Landkreis";"281,5";"8,4"
"07211";"Trier, Stadt";"krsfr. Stadt";"238,1";"14,2"
"07231";"Bernkastel-Wittlich";"Landkreis";"448,6";"7,9"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"350,9";"6,8"
"07233";"Vulkaneifel";"Landkreis";"215,1";"8,2"
"07235";"Trier-Saarburg";"Landkreis";"350,1";"6,2"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"101,2";"17,7"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"93,0";"25,1"
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"93,6";"14,3"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"207,1";"25,1"
"07315";"Mainz, Stadt";"krsfr. Stadt";"178,3";"17,8"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"224,0";"16,0"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"213,5";"29,2"
"07318";"Speyer, Stadt";"krsfr. Stadt";"186,5";"13,7"
"07319";"Worms, Stadt";"krsfr. Stadt";"187,4";"21,6"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"175,4";"16,9"
"07331";"Alzey-Worms";"Landkreis";"321,2";"9,2"
"07332";"Bad Dürkheim";"Landkreis";"182,2";"8,9"
"07333";"Donnersbergkreis";"Landkreis";"246,7";"10,4"
"07334";"Germersheim";"Landkreis";"431,5";"10,2"
"07335";"Kaiserslautern";"Landkreis";"247,0";"11,0"
"07336";"Kusel";"Landkreis";"241,3";"11,8"
"07337";"Südliche Weinstraße";"Landkreis";"257,1";"8,8"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"212,3";"7,1"
"07339";"Mainz-Bingen";"Landkreis";"503,5";"8,6"
"07340";"Südwestpfalz";"Landkreis";"249,5";"6,1"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"319,2";"14,0"
"08115";"Böblingen";"Landkreis";"375,4";"7,0"
"08116";"Esslingen";"Landkreis";"287,9";"7,4"
"08117";"Göppingen";"Landkreis";"350,4";"10,0"
"08118";"Ludwigsburg";"Landkreis";"356,9";"7,4"
"08119";"Rems-Murr-Kreis";"Landkreis";"371,0";"8,7"
"08121";"Heilbronn, Stadt";"krsfr. Stadt";"360,0";"13,9"
"08125";"Heilbronn";"Landkreis";"423,6";"6,7"
"08126";"Hohenlohekreis";"Landkreis";"562,4";"3,9"
"08127";"Schwäbisch Hall";"Landkreis";"519,6";"6,4"
"08128";"Main-Tauber-Kreis";"Landkreis";"477,0";"7,0"
"08135";"Heidenheim";"Landkreis";"484,2";"11,3"
"08136";"Ostalbkreis";"Landkreis";"496,9";"7,0"
"08211";"Baden-Baden, Stadt";"krsfr. Stadt";"268,3";"10,7"
"08212";"Karlsruhe, Stadt";"krsfr. Stadt";"394,9";"11,7"
"08215";"Karlsruhe";"Landkreis";"356,9";"6,5"
"08216";"Rastatt";"Landkreis";"312,1";"7,9"
"08221";"Heidelberg, Stadt";"krsfr. Stadt";"356,2";"8,9"
"08222";"Mannheim, Stadt";"krsfr. Stadt";"207,8";"20,2"
"08225";"Neckar-Odenwald-Kreis";"Landkreis";"418,4";"6,3"
"08226";"Rhein-Neckar-Kreis";"Landkreis";"320,9";"8,5"
"08231";"Pforzheim, Stadt";"Landkreis";"274,6";"20,8"
"08235";"Calw";"Landkreis";"453,6";"6,3"
